,All_species,Err_All_species,Excluding_C_and_O,Err_Excluding_C_and_O,Tcond>1100K,Err_Tcond>1100K
HIP64713,0.040801740368247894,0.02233642441329,0.03092731374597319,0.046117046705600295,0.02411189457565992,0.07456928000015169
HIP65708,-0.1703897469720253,0.023152171872025055,0.21912584478732586,0.04314632742567871,1.5394569111529828,0.08660812930827097
HIP68468,0.4057901075014912,0.017804886895382455,0.3171473543024566,0.03966008115546396,0.6708940548073737,0.06497435331924907
HIP69645,-0.17025934192363765,0.012903218776647489,-0.08023883959809744,0.03703511978463824,0.01589703840066385,0.05262204272023036
HIP72043,0.07659040826249655,0.019389176173177543,0.16400604551815343,0.03441690850964712,0.7665369104778386,0.06961898657867727
HIP73241,0.07714203622647954,0.019128075393378803,0.23177252220510844,0.0724570893130559,0.8880352704972176,0.11686481315486184
HIP73815,0.0746574094299134,0.013157098707040732,0.15693360888055868,0.03288926346585395,0.39004159582010706,0.04696107816250359
HIP74389,0.33982165756545596,0.019324955423019232,0.29519019786587275,0.043481881205618564,0.116189733869452,0.07759221705939003
HIP74432,0.04034967862490502,0.023731143740459697,1.1351910109874532,0.07959755377403448,2.0568820874631593,0.10384580359901324
HIP7585,0.20730785404739455,0.017528437415250033,0.1834666458878252,0.02828595041601992,0.12231116820697821,0.06009661448563178
HIP76114,-0.08836857378404771,0.021604514941987608,-0.01307153264829066,0.04414637106204465,0.05147772637032142,0.06645983902312438
HIP77052,0.1962411218775056,0.02031284214185416,0.2192853488850522,0.04707598485699748,0.08703802824287095,0.0632626041447026
HIP77883,-0.17515326420837862,0.015446161564762747,0.1701210546311484,0.05383391200365332,0.41455534864389126,0.07652314318502744
HIP79578,0.08064122747388544,0.019847562524437222,0.15497850911522681,0.029443735623678045,0.037002725367373396,0.06285054338227504
HIP79672,0.14146801374918677,0.013538695914024715,0.1806271301108606,0.02043825890865812,-0.04566325686865586,0.04800460005581456
HIP79715,-0.026232315305535638,0.022814229223660065,0.004776721987859072,0.037605792006706815,0.25974414840138865,0.07000856308937271
HIP81746,0.29544198585702036,0.0266991659909235,0.700546111132078,0.03806551224950576,1.1306385294130727,0.05207028697050615
HIP83276,0.08643403142625312,0.018466477451918883,0.27693581588949573,0.06430302199205563,0.28244382340754154,0.1082902302228291
HIP85042,0.2708440590900976,0.02661205135170063,0.5431926050485116,0.04142301729793827,0.8238107460507039,0.05611868882941621
HIP8507,0.043662675673523145,0.021369471109020516,0.22553296052159175,0.0330825768185759,0.21424106697191236,0.055553252863564204
HIP87769,0.12191134808671579,0.022656581698028942,0.09194157433874976,0.02984173821128495,0.1868555229857223,0.05290722715586467
HIP89650,-0.07734210594263631,0.019976473178882757,-0.00289413109117728,0.03951420502593564,0.15823852295608443,0.05644126854438475
HIP9349,-0.10991876468622841,0.020035244495932098,-0.11052864192357424,0.03200777770255399,-0.6109403139313446,0.060527974613129705
HIP95962,0.1334694228517223,0.012594378541562978,0.07054799726601275,0.032468031142358425,0.2173119434734973,0.04897500883858662
HIP96160,-0.040453828495761415,0.014407413143977576,-0.05128864562146204,0.03605932798753515,-0.22397470503777386,0.06251908789733437
