,lnZ_planet,lnZ_flat,delta_lnZ,bestfit_ME,std_ME,bestfit_offset_planet,std_offset_planet,besfit_sigma_planet,std_sigma_planet,bestfit_offset_flat,std_offset_flat,besfit_sigma_flat,std_sigma_flat
HIP77052,35.9423134133393,33.648705834758296,2.2936075785810033,2.8769888893301307,0.8758172094263356,-0.010525668641651248,0.010693690543630775,0.022121496117005885,0.004725965456037545,0.02127035624109277,0.007421263960822664,0.029186167234499256,0.006038536729095737
HIP77883,37.60765197528626,45.08727469376361,-7.479622718477351,1.2798684892781906,0.2593322036299975,-0.0032664741128654133,0.005299962240293141,0.01743730594371611,0.004079145395113214,0.012636859248277397,0.0036035430002743485,0.013223645962073463,0.0030588204643467124
HIP79578,50.15911569393018,53.59996789932443,-3.4408522053942505,1.138156689123342,0.12962025049710943,0.02759730749784539,0.0023423105374282284,0.006697931030064149,0.001867430541112007,0.0412861988115223,0.002210714325561556,0.007838983978509299,0.0017886921322269242
HIP79672,51.354152050666684,49.29857952537877,2.0555725252879142,1.2461663518098647,0.19064661188246845,0.016193271966826305,0.002803495660749088,0.006400536933659207,0.0017091352400623201,0.030867890542778675,0.0026944647482120957,0.010614418962745023,0.0022960370286108744
HIP79715,36.4320634989252,45.90654407061325,-9.474480571688048,1.238497103693686,0.2418352366788359,-0.04456318151620243,0.0054226630734775065,0.01873637185954928,0.004182022241597599,-0.02956559107765347,0.003439557111431975,0.013290645319309244,0.002754831043883039
HIP81746,36.80690287754589,41.0725820689754,-4.265679191429513,1.4126659387211047,0.3640482242520431,-0.0933581970624616,0.006179826377182128,0.01948274818980211,0.0040936644900483685,-0.07597972042902591,0.004791078887028952,0.01858233459873935,0.003709277178203692
HIP83276,34.24681181415534,39.21129846289165,-4.964486648736305,1.3966228999535715,0.37071987278402857,-0.11466785881373719,0.006503831182046898,0.019352931231418458,0.005302280751957053,-0.0979785044007864,0.004568958766074519,0.01775460619304897,0.004576509369437016
HIP85042,39.60421348488764,40.3035782636685,-0.6993647787808612,1.7240478173198006,0.5079043946777094,-0.0027168250319015686,0.007003836775034333,0.016499625680691975,0.0037922433060743528,0.017946067805367297,0.0047067095865259735,0.01843851582111098,0.003976846494522987
HIP8507,35.50187723252931,35.7441339024452,-0.24225666991588923,2.2128402517843138,0.7725355600578551,-0.12774548774014374,0.009967060850844305,0.02234788314876339,0.004686629415257875,-0.10175865851861866,0.006543927184543989,0.025525734589576958,0.005251179018112484
HIP87769,43.170383252683315,47.94246004720616,-4.772076794522846,1.2358752593426494,0.22439505976056556,0.05221920819613688,0.0038671794125571066,0.01145446706523819,0.003140375351418061,0.06719656543262295,0.002908210065768669,0.0111306122249366,0.002525672634571265
HIP89650,36.86033709918458,46.58613145312842,-9.72579435394384,1.215388401662782,0.22564700053588785,-0.020366360040576414,0.005177269544588679,0.01888261409550114,0.0042772858551159785,-0.0060714470848652535,0.00312284742769968,0.012529132311723083,0.0026323528598660127
HIP9349,36.502858395536606,39.5152654217425,-3.012407026205892,1.5966349834044118,0.4967942782347038,-0.03917997345193212,0.007458585000228463,0.02061528048379627,0.004209551558713636,-0.02065032379753346,0.0050281566150252146,0.020638017958891627,0.0040744142419912935
HIP95962,41.608208409574594,51.540124373330315,-9.93191596375572,1.1693350913714429,0.1757941071624627,0.01377247836983826,0.0038103707120145367,0.012751494120729215,0.0031338899960952735,0.02767467254060351,0.002383364339587522,0.008869112009394048,0.001976576897476008
HIP96160,39.98549875124127,44.78046357146897,-4.7949648202276975,1.3191675983372506,0.2997927578704847,-0.05745356346168448,0.0050121882430279995,0.015396118863423678,0.0033827814750468552,-0.041738144593365195,0.003682113553307155,0.014376717738025945,0.0028837314077892707
